Shipment_ID,Date,Origin,Destination,Distance_KM,Carrier,Vehicle_ID,Load_KG,Traffic,Weather,Priority,Delivery_Window_Hours,Destination_Lat,Destination_Lon
S1001,2026-08-20,Hyderabad,Pune,579,Carrier_B,V04,264,Medium,Normal,High,11,18.5204,73.8567
S1002,2026-08-20,Hyderabad,Mumbai,718,Carrier_B,V01,678,Low,Normal,High,13,19.076,72.8777
S1003,2026-08-20,Hyderabad,Chennai,616,Carrier_D,V02,276,Low,Rain,Urgent,15,13.0827,80.2707
S1004,2026-08-20,Hyderabad,Warangal,169,Carrier_A,V01,819,High,Normal,Normal,6,17.9689,79.5941
S1005,2026-08-20,Hyderabad,Bengaluru,572,Carrier_C,V04,735,Low,Severe,High,13,12.9716,77.5946
S1006,2026-08-20,Hyderabad,Pune,568,Carrier_A,V04,605,Medium,Normal,Normal,12,18.5204,73.8567
S1007,2026-08-20,Hyderabad,Warangal,138,Carrier_D,V02,675,High,Rain,Normal,6,17.9689,79.5941
S1008,2026-08-20,Hyderabad,Bengaluru,560,Carrier_D,V01,697,High,Normal,Normal,13,12.9716,77.5946
S1009,2026-08-20,Hyderabad,Mumbai,693,Carrier_B,V04,248,Medium,Rain,Normal,15,19.076,72.8777
S1010,2026-08-20,Hyderabad,Bengaluru,581,Carrier_B,V02,368,Medium,Normal,Urgent,11,12.9716,77.5946
S1011,2026-08-20,Hyderabad,Chennai,633,Carrier_B,V04,528,Low,Normal,Normal,15,13.0827,80.2707
S1012,2026-08-20,Hyderabad,Warangal,156,Carrier_D,V02,527,Medium,Severe,Normal,6,17.9689,79.5941
S1013,2026-08-20,Hyderabad,Warangal,145,Carrier_C,V05,612,Low,Normal,Normal,6,17.9689,79.5941
S1014,2026-08-20,Hyderabad,Chennai,611,Carrier_B,V05,755,Low,Normal,Normal,15,13.0827,80.2707
S1015,2026-08-20,Hyderabad,Pune,568,Carrier_A,V02,502,Medium,Severe,Urgent,14,18.5204,73.8567
S1016,2026-08-20,Hyderabad,Visakhapatnam,638,Carrier_C,V01,360,Medium,Normal,Urgent,16,17.6868,83.2185
S1017,2026-08-20,Hyderabad,Bengaluru,582,Carrier_C,V03,391,Low,Rain,Normal,11,12.9716,77.5946
S1018,2026-08-20,Hyderabad,Visakhapatnam,633,Carrier_D,V03,287,Medium,Normal,High,16,17.6868,83.2185
S1019,2026-08-20,Hyderabad,Bengaluru,579,Carrier_B,V02,861,Medium,Normal,Normal,11,12.9716,77.5946
S1020,2026-08-20,Hyderabad,Mumbai,730,Carrier_A,V01,490,Medium,Rain,Urgent,14,19.076,72.8777
