Shipment_ID,Date,Origin,Destination,Distance_KM,Carrier,Vehicle_ID,Load_KG,Traffic,Weather,Priority,Delivery_Window_Hours,Destination_Lat,Destination_Lon,Current_Cost,Optimized_Vehicle,Optimized_Cost,Vehicle_Utilization_%,Cost_Saving,Saving_%
S1001,2026-08-20,Hyderabad,Pune,579,Carrier_B,V04,264,Medium,Normal,High,11,18.5204,73.8567,724.8,V01,625.95,52.8,98.84999999999991,13.63824503311257
S1002,2026-08-20,Hyderabad,Mumbai,718,Carrier_B,V01,678,Low,Normal,High,13,19.076,72.8777,771.9,V02,811.8000000000001,90.4,-39.90000000000009,-5.1690633501749055
S1003,2026-08-20,Hyderabad,Chennai,616,Carrier_D,V02,276,Low,Rain,Urgent,15,13.0827,80.2707,699.6,V01,664.8000000000001,55.2,34.799999999999955,4.974271012006854
S1004,2026-08-20,Hyderabad,Warangal,169,Carrier_A,V01,819,High,Normal,Normal,6,17.9689,79.5941,195.45000000000002,V03,220.35,81.9,-24.899999999999977,-12.739831158864146
S1005,2026-08-20,Hyderabad,Bengaluru,572,Carrier_C,V04,735,Low,Severe,High,13,12.9716,77.5946,716.4,V02,651.2,98.0,65.19999999999993,9.10106085985482
S1006,2026-08-20,Hyderabad,Pune,568,Carrier_A,V04,605,Medium,Normal,Normal,12,18.5204,73.8567,711.6,V05,633.44,93.08,78.15999999999997,10.983698707138839
S1007,2026-08-20,Hyderabad,Warangal,138,Carrier_D,V02,675,High,Rain,Normal,6,17.9689,79.5941,173.8,V02,173.8,90.0,0.0,0.0
S1008,2026-08-20,Hyderabad,Bengaluru,560,Carrier_D,V01,697,High,Normal,Normal,13,12.9716,77.5946,606.0,V02,638.0,92.93,-32.0,-5.2805280528052805
S1009,2026-08-20,Hyderabad,Mumbai,693,Carrier_B,V04,248,Medium,Rain,Normal,15,19.076,72.8777,861.6,V01,745.65,49.6,115.95000000000005,13.457520891364908
S1010,2026-08-20,Hyderabad,Bengaluru,581,Carrier_B,V02,368,Medium,Normal,Urgent,11,12.9716,77.5946,661.1,V01,628.0500000000001,73.6,33.049999999999955,4.999243684767804
S1011,2026-08-20,Hyderabad,Chennai,633,Carrier_B,V04,528,Low,Normal,Normal,15,13.0827,80.2707,789.6,V05,703.6400000000001,81.23,85.95999999999992,10.886524822695025
S1012,2026-08-20,Hyderabad,Warangal,156,Carrier_D,V02,527,Medium,Severe,Normal,6,17.9689,79.5941,193.60000000000002,V05,188.48000000000002,81.08,5.1200000000000045,2.6446280991735556
S1013,2026-08-20,Hyderabad,Warangal,145,Carrier_C,V05,612,Low,Normal,Normal,6,17.9689,79.5941,176.60000000000002,V05,176.60000000000002,94.15,0.0,0.0
S1014,2026-08-20,Hyderabad,Chennai,611,Carrier_B,V05,755,Low,Normal,Normal,15,13.0827,80.2707,679.88,V03,728.65,75.5,-48.76999999999998,-7.17332470435959
S1015,2026-08-20,Hyderabad,Pune,568,Carrier_A,V02,502,Medium,Severe,Urgent,14,18.5204,73.8567,646.8000000000001,V05,633.44,77.23,13.360000000000014,2.0655534941249245
S1016,2026-08-20,Hyderabad,Visakhapatnam,638,Carrier_C,V01,360,Medium,Normal,Urgent,16,17.6868,83.2185,687.9,V01,687.9,72.0,0.0,0.0
S1017,2026-08-20,Hyderabad,Bengaluru,582,Carrier_C,V03,391,Low,Rain,Normal,11,12.9716,77.5946,695.3,V01,629.1,78.2,66.19999999999993,9.521070041708606
S1018,2026-08-20,Hyderabad,Visakhapatnam,633,Carrier_D,V03,287,Medium,Normal,High,16,17.6868,83.2185,753.9499999999999,V01,682.65,57.4,71.29999999999995,9.4568605345182
S1019,2026-08-20,Hyderabad,Bengaluru,579,Carrier_B,V02,861,Medium,Normal,Normal,11,12.9716,77.5946,658.9000000000001,V03,691.8499999999999,86.1,-32.94999999999982,-5.0007588404917005
S1020,2026-08-20,Hyderabad,Mumbai,730,Carrier_A,V01,490,Medium,Rain,Urgent,14,19.076,72.8777,784.5,V01,784.5,98.0,0.0,0.0
